"","date","user_id","type","value"
"1",3838,61,2,2.76
"2",3944,26,4,2.44
"3",1678,10,4,1.8800001
"4",4577,33,2,2.2
"5",3422,17,2,4
"6",3869,62,2,2.581280231
"7",42,39,2,2.455784559
"8",2795,51,4,1.48
"9",3125,96,2,3
"10",3215,17,2,3
"11",2707,23,2,0.847713947
"12",3595,49,4,2.04
"13",1444,84,2,1.96
"14",4221,16,2,1.248946428
"15",4566,79,4,3.3600001
"16",3197,52,1,0
"17",1042,66,1,3.12
"18",4343,90,2,2.417989731
"19",1387,19,4,1
"20",2011,19,4,1.52
"21",3947,66,2,2.12
"22",282,96,2,3.2
"23",27,46,4,2.966676712
"24",355,33,4,3.781018734
"25",452,52,4,2.265399456
"26",2994,39,2,1.102006912
"27",3825,66,2,1.6800001
"28",1293,59,3,0.3599999
"29",3669,46,4,3.12
"30",589,33,2,3.92
"31",534,52,2,2.243603468
"32",677,80,2,3.17733407
"33",2331,17,2,3
"34",366,97,2,2.681696177
"35",3746,54,3,1.44
"36",346,17,4,1.643543005
"37",4432,9,4,2.741368294
"38",2031,2,2,2.316302776
"39",901,95,2,2.616808414
"40",2560,39,2,2.745640278
"41",4293,34,2,2.4
"42",4126,17,4,2.44
"43",4556,13,2,3.792572021
"44",180,17,2,0.68000007
"45",1144,33,4,4
"46",2156,11,4,3.32
"47",657,30,3,2
"48",4206,39,2,1.5999999
"49",1039,66,2,4
"50",2096,99,2,4
"51",3287,90,4,1.2
"52",3973,84,2,4
"53",1948,9,4,4
"54",224,17,4,3.24
"55",3551,17,2,4
"56",1303,52,2,3.56
"57",4042,64,2,2
"58",1969,77,2,1.3199999
"59",2930,52,4,2.282396078
"60",776,9,2,3.84
"61",391,52,4,3.2
"62",2046,90,2,4
"63",1803,29,4,3.52
"64",4295,73,4,1.481024504
"65",4167,80,2,3
"66",2952,4,4,1.2
"67",63,51,2,3.159469128
"68",1685,52,4,4
"69",2962,46,4,3.149135113
"70",667,68,2,0.982290745
"71",3548,12,2,3
"72",1534,81,4,2.6
"73",1521,39,2,0
"74",3087,64,4,3.890581608
"75",4536,59,2,4
"76",2594,82,4,2
"77",2702,48,2,2.4
"78",892,33,4,1
"79",566,7,2,2.3600001
"80",824,33,2,3.08
"81",1119,90,2,3.52
"82",3787,55,2,3
"83",4131,5,4,1.76
"84",1085,51,2,4
"85",3268,64,4,0.5999999
"86",358,39,4,2.476073742
"87",4279,54,4,1.8
"88",1329,53,4,0.03999996
"89",935,97,2,1.8800001
"90",1242,80,4,3.92
"91",845,90,2,4
"92",4470,69,2,3.114515066
"93",2612,33,1,3.56
"94",683,9,2,1.3599999
"95",921,17,2,3.8
"96",493,64,2,1.8800001
"97",244,10,4,3.746170521
"98",4111,52,4,1.589731455
"99",1906,39,4,0.977735996
"100",475,52,2,2.28
"101",3418,72,2,3.355217934
"102",3865,51,2,3
"103",254,67,4,0.992869377
"104",4442,33,4,3.4965446
"105",3196,52,2,1.52
"106",1594,10,4,3.28
"107",301,52,2,3
"108",2758,10,2,1.143733501
"109",1969,46,4,1.615403891
"110",4005,92,2,2
"111",3698,17,2,2.1599998
"112",4002,32,4,3.2
"113",1872,33,4,0.80662775
"114",2236,59,4,4
"115",475,32,2,2.290636539
"116",1201,78,4,1.8800001
"117",1862,52,2,3.68
"118",4218,60,3,2.5098207
"119",1216,33,4,2.92
"120",4546,98,2,3.656131268
"121",702,50,1,1.577618599
"122",851,98,4,1.841025114
"123",3393,95,4,4
"124",1515,97,4,3.12
"125",3202,33,4,3.201529741
"126",3794,37,4,3.880794525
"127",4088,90,2,2.452574253
"128",1404,82,2,0
"129",3166,64,2,2.8400002
"130",4692,39,4,2
"131",3098,90,4,1.8800001
"132",1056,42,4,3.534110546
"133",454,52,4,2.52
"134",1584,10,2,0.986011267
"135",2772,46,4,0.5999999
"136",1746,33,4,0.5999999
"137",3800,58,2,2.72
"138",34,46,4,0.76
"139",2142,26,2,1.8399999
"140",3149,66,3,1.164269209
"141",857,52,3,0
"142",2070,18,2,3.8
"143",1176,72,1,2
"144",4086,97,2,1.04
"145",343,52,2,1.52
"146",641,32,2,2.466337204
"147",3325,53,4,3.6399999
"148",953,64,4,0
"149",1838,68,4,4
"150",3967,83,2,1.48
"151",1005,42,4,1.52
"152",4092,17,2,3
"153",977,76,2,2
"154",277,52,2,1.8
"155",2648,66,2,2
"156",492,34,4,1.8800001
"157",3082,90,2,3
"158",3011,92,4,4
"159",3259,48,2,1.060422421
"160",2862,4,4,0.16000009
"161",1402,54,4,2
"162",3919,17,3,3
"163",811,7,2,2.8
"164",645,66,2,2.4
"165",1638,89,4,3.48
"166",755,16,2,0.604490995
"167",3850,24,2,1.96
"168",3918,39,2,1.959804535
"169",229,64,4,1.899441957
"170",2074,90,2,4
"171",874,46,2,3.92
"172",2945,66,4,1.8800001
"173",1504,45,4,3.72
"174",4125,33,4,4
"175",391,52,4,2.316880703
"176",2566,94,2,4
"177",2723,12,1,4
"178",2306,85,2,3.816519022
"179",3930,34,2,2.041903019
"180",4302,60,4,2.88
"181",1575,95,2,3.12
"182",503,22,4,3.84
"183",1486,83,4,3
"184",1200,1,3,3.44
"185",4684,21,2,2.364926815
"186",1070,52,2,1
"187",4303,17,2,1.48
"188",3303,29,3,0
